"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
226942,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20 15:13:33","Mantys"
547382,"Director of Analytics","Anywhere","Full-time","336500.0","2023-08-23 12:04:42","Meta"
552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18 16:03:12","AT&T"
99305,"Data Analyst, Marketing","Anywhere","Full-time","232423.0","2023-12-05 20:00:40","Pinterest Job Advertisements"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17 00:17:23","Uclahealthcareers"
168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","SmartAsset"
731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","Inclusively"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","Motional"
1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","SmartAsset"
387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","Get It Recruit - Information Technology"
1781684,"DTCC Data Analyst","Anywhere","Full-time","170000.0","2023-10-06 00:01:41","Robert Half"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Anywhere","Contractor","170000.0","2023-01-23 22:28:01","Kelly Science, Engineering, Technology & Telecom"
1352513,"REMOTE Director of Data Analytics","Anywhere","Full-time","170000.0","2023-08-09 14:02:45","A-Line Staffing Solutions"
1525451,"Manager, Data Analyst","Anywhere","Full-time","167000.0","2023-04-18 07:01:17","Uber"
712473,"Data Analyst","Anywhere","Full-time","165000.0","2023-08-14 16:01:19","Get It Recruit - Information Technology"
1246069,"Data Analyst","Anywhere","Full-time","165000.0","2023-12-08 09:16:37","Plexus Resource Solutions"
1799883,"Principal Data Science Analyst- Remote","Anywhere","Full-time","164746.0","2023-04-14 12:05:19","Mayo Clinic"
1423236,"Principal Data Science Analyst- Remote","Anywhere","Full-time","164746.0","2023-01-13 13:04:39","Mayo Clinic"
618890,"Principal Data Intelligence Analyst - Cardiac - Remote","Anywhere","Full-time","163500.0","2023-09-20 13:00:44","CEDARS-SINAI"
918213,"Senior - Data Analyst","Anywhere","Full-time","160515.0","2023-06-14 21:01:17","DIRECTV"
